x,y
-286.157,320.786
-285.147,322.029
-282.09,325.549
-278.022,330.301
-276.203,332.441
-272.802,336.336
-268.845,341.039
-263.537,347.25
-259.291,352.245
-253.532,358.778
-251.601,361.136
-249,363.1
-247.184,364.11
-242.887,365.929
-240.546,366.599
-238.83,367.071
-237,367.25
-235.537,367.185
-232.024,366.625
-229.538,366.13
-226.914,365.167
-225.118,364.29
-223,363.7
-221.315,363.618
-217.958,363.897
-215.466,364.8
-213.674,365.963
-211.944,367.395
-210.622,368.916
-209.5,371.45
-209.1,373.654
-209,375
-209.327,377.155
-210.123,379.903
-210.6,381
-211.897,382.767
-212.5,383.5
-213.5,384.5
-214.747,385.356
-216,385.9
-217.965,386.449
-220.5,386.6
-222.355,386.517
-224.5,386.1
-227.009,385
-229.984,382.769
-232.256,381.127
-235.179,378.831
-236.074,378.07
-239.921,374.483
-242.257,371.759
-243.406,370.508
-247.096,366.131
-251.601,361.131
-253.532,358.778
-259.291,352.245
-263.537,347.25
-268.845,341.039
-272.802,336.336
-276.208,332.442
-278.022,330.301
-282.09,325.549
-285.147,322.029
-288.564,319.038
-290.815,316.678
-293.326,313.636
-294.201,312.342
-295.59,309.772
-296.3,307.894
-296.728,306.095
-296.8,304
-296.857,302.806
-296.223,300.543
-295.038,298.414
-294,297.25
-292.866,296.61
-291.5,296.3
-290.374,296.273
-287.806,296.933
-286.5,297.6
-285.491,298.357
-284.333,299.46
-283.511,300.945
-282.851,303.138
-282.719,305.417
-282.803,306.993
-283.029,308.691
-284.109,311.747
-285.693,314.64
-286.384,316.514
-286.7,318.304
-286.7,319.304
-286.5,320.2
-286.157,320.786
